,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
54,NISSAN X-Trail 1.6 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,15220.0,2016-12-01,Diesel,54272.0,Todo Terreno,Manual,130.0,12.0,C,41
55,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,9655.0,Todo Terreno,Manual,140.0,24.0,C,11
56,NISSAN Qashqai 1.2 DIG-T Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,18900.0,2018-01-01,Gasolina,34000.0,Todo Terreno,Manual,115.0,12.0,C,28
57,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,18000.0,2016-09-01,Diesel,48000.0,Todo Terreno,Manual,110.0,12.0,C,44
58,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,18230.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
59,NISSAN Micra  1.0 N-Sport,NISSAN,Micra,,4x2,13710.0,2019-12-01,Gasolina,1487.0,Berlina mediana o grande,Manual,117.0,24.0,C,5
60,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18500.0,2018-06-01,Gasolina,23691.0,Todo Terreno,Manual,115.0,12.0,C,23
61,NISSAN Qashqai 1.5dCi Tekna+ 4x2 85kW,NISSAN,Qashqai,Tekna,4x2,23750.0,2018-10-01,Diesel,5047.0,Todo Terreno,Manual,115.0,24.0,C,19
62,NISSAN Pathfinder 2.5dCi FE 7pl.,NISSAN,Pathfinder,,4x2,14800.0,2014-05-01,Diesel,120970.0,Todo Terreno,Manual,190.0,12.0,C,72
63,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,10490.0,2018-05-01,Gasolina,31241.0,Berlina,Manual,90.0,11.0,C,24
64,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16200.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
65,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,9924.0,Todo Terreno,Manual,140.0,24.0,C,11
66,NISSAN Qashqai Q+2 1.5dCi 360 4x2,NISSAN,Qashqai,,4x2,15000.0,2015-11-01,Diesel,101000.0,Todo Terreno,Manual,110.0,12.0,C,54
67,NISSAN Qashqai 1.6 DIG-T Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,21240.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,163.0,24.0,C,11
68,NISSAN Qashqai 1.3 DIG-T N-Motion 4x2 103kW,NISSAN,Qashqai,,4x2,21900.0,2019-05-01,Gasolina,34.0,Todo Terreno,Manual,140.0,36.0,C,12
69,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
70,NISSAN Juke  1.5dCi 185€/mes,NISSAN,Juke,,4x2,7950.0,2011-06-01,Diesel,115000.0,"4x4, SUV o pickup",Manual,110.0,12.0,B,107
71,NISSAN Micra IG-T N-Connecta 100,NISSAN,Micra,N-Connecta,4x2,10995.0,2018-12-01,Gasolina,36791.0,Berlina,Manual,100.0,22.0,C,17
72,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11900.0,2017-06-01,Gasolina,32000.0,Todo Terreno,Manual,115.0,0.0,C,35
73,NISSAN X-Trail 1.6 DIG-T Tekna 4x2,NISSAN,X-Trail,Tekna,4x2,16720.0,2017-05-01,Gasolina,37040.0,Todo Terreno,Manual,163.0,12.0,C,36
74,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,13150.0,Todo Terreno,Manual,140.0,24.0,C,11
75,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16200.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
76,NISSAN Qashqai 1.6dCi Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,14990.0,2015-01-01,Diesel,80000.0,Todo Terreno,Manual,130.0,36.0,C,64
77,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,18500.0,2019-06-01,Gasolina,27000.0,Todo Terreno,Manual,140.0,0.0,C,11
78,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11995.0,2016-12-01,Gasolina,28901.0,Todo Terreno,Manual,115.0,12.0,C,41
79,NISSAN Qashqai DIG-T 103 kW (140 CV) E6D TEKNA,NISSAN,Qashqai,Tekna,4x2,25300.0,2019-09-01,Gasolina,0.0,"4x4, SUV o pickup",Manual,140.0,12.0,C,8
80,NISSAN Qashqai 1.5 dCi ACENTA,NISSAN,Qashqai,Acenta,4x2,13990.0,2017-03-01,Diesel,54167.0,"4x4, SUV o pickup",Manual,110.0,12.0,C,38
81,NISSAN Qashqai dCi 96 kW (130 CV) N-CONNECTA,NISSAN,Qashqai,N-Connecta,4x2,18790.0,2018-02-01,Diesel,28020.0,"4x4, SUV o pickup",Manual,130.0,12.0,C,27
82,NISSAN Qashqai 1.5 DCI N-CONNECTA 110 5P,NISSAN,Qashqai,N-Connecta,4x2,13750.0,2016-05-01,Diesel,90000.0,Berlina mediana o grande,Manual,110.0,12.0,C,48
83,NISSAN Juke DIG-T EU6 85 kW (115 CV) 6M/T ACENTA,NISSAN,Juke,Acenta,4x2,11500.0,2017-08-01,Gasolina,18901.0,"4x4, SUV o pickup",Manual,115.0,36.0,C,33
84,NISSAN Almera 2.2 Di Comfort,NISSAN,,,4x2,1550.0,2002-11-01,Diesel,279000.0,Berlina,Manual,110.0,12.0,,210
85,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,17995.0,2019-02-01,Gasolina,47007.0,Todo Terreno,Manual,140.0,12.0,C,15
86,NISSAN Qashqai 1.6dCi Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,21990.0,2018-05-01,Diesel,19500.0,Todo Terreno,Manual,130.0,16.0,C,24
87,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17500.0,2018-01-01,Gasolina,24122.0,Todo Terreno,Manual,115.0,12.0,C,28
88,NISSAN Qashqai Q+2 2.0dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,12500.0,2010-05-01,Diesel,128000.0,Todo Terreno,Manual,150.0,0.0,B,120
89,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-02-01,Gasolina,29500.0,Berlina mediana o grande,Manual,140.0,0.0,C,15
90,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,11500.0,2015-07-01,Diesel,91000.0,Todo Terreno,Manual,110.0,12.0,C,58
91,NISSAN Qashqai  DCI 115 CV N-CONECTA,NISSAN,Qashqai,,4x2,19400.0,2018-11-01,Diesel,23500.0,,Manual,115.0,24.0,C,18
92,NISSAN Qashqai 1.2 DIG-T Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,20300.0,2017-08-01,Gasolina,11700.0,Todo Terreno,Manual,115.0,12.0,C,33
93,NISSAN Qashqai 1.6dCi Visia 4x4-i,NISSAN,Qashqai,Visia,4x4,13999.0,2017-01-01,Diesel,81637.0,Todo Terreno,Manual,130.0,12.0,C,40
94,NISSAN Pulsar 1.5 dCi Tekna,NISSAN,Pulsar,Tekna,4x2,12000.0,2017-03-01,Diesel,68150.0,Berlina,Manual,110.0,15.0,C,38
95,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11800.0,2017-02-01,Diesel,79000.0,Todo Terreno,Manual,110.0,12.0,C,39
96,NISSAN X-Trail 1.7 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,25900.0,2019-12-01,Diesel,10.0,Todo Terreno,Manual,150.0,34.0,C,5
97,NISSAN X-Trail 1.6 dCi Acenta 4x4-i,NISSAN,X-Trail,Acenta,4x4,15990.0,2016-11-01,Diesel,64100.0,Todo Terreno,Manual,130.0,12.0,C,42
98,NISSAN Juke 1.6i Acenta,NISSAN,Juke,Acenta,4x2,7950.0,2013-12-01,Gasolina,105000.0,Todo Terreno,Manual,117.0,24.0,C,77
99,NISSAN X-Trail 1.7 DCI TEKNA 110KW 150 5P,NISSAN,X-Trail,Tekna,4x2,28900.0,2019-11-01,Diesel,10.0,"4x4, SUV o pickup",Manual,150.0,0.0,C,6
100,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,5900.0,2014-01-01,Gasolina,108000.0,Berlina,Manual,80.0,12.0,C,76
101,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6250.0,2017-02-01,Gasolina,43000.0,Berlina,Manual,80.0,12.0,C,39
102,NISSAN Juke 1.0 DIG-T Tekna 4x2 117,NISSAN,Juke,Tekna,4x2,21400.0,2020-01-01,Gasolina,47.0,Todo Terreno,Manual,117.0,34.0,C,4
103,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,26990.0,2019-08-01,Eléctrico,1000.0,Berlina mediana o grande,Manual,150.0,36.0,0 EMISIONES,9
104,NISSAN Qashqai 1.2 DIG-T TEKNA+ 115 5P,NISSAN,Qashqai,Tekna,4x2,18900.0,2018-02-01,Gasolina,55138.0,Berlina mediana o grande,Manual,115.0,12.0,C,27
105,NISSAN Juke 1.5dCi Tekna 4x2,NISSAN,Juke,Tekna,4x2,15200.0,2017-06-01,Diesel,30740.0,Todo Terreno,Manual,110.0,12.0,C,35
106,NISSAN X-Trail 1.6 dCi 360 4x2,NISSAN,X-Trail,,4x2,12850.0,2015-03-01,Diesel,104000.0,Todo Terreno,Manual,130.0,12.0,C,62
107,NISSAN Juke DIG-T EU6 85 kW (115 CV) 6M/T ACENTA,NISSAN,Juke,Acenta,4x2,10490.0,2017-12-01,Gasolina,25487.0,"4x4, SUV o pickup",Manual,115.0,12.0,C,29
108,NISSAN Qashqai 1.6dCi S&S Tekna Premium 4x2 18´´,NISSAN,Qashqai,Tekna,4x2,10990.0,2014-01-01,Diesel,76100.0,Todo Terreno,Manual,130.0,12.0,C,76
109,NISSAN Qashqai Q+2 1.6 S&S Tekna Sport Chrome 4x2,NISSAN,Qashqai,Tekna,4x2,10900.0,2012-05-01,Gasolina,93000.0,Todo Terreno,Manual,117.0,12.0,C,96
110,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10995.0,2017-12-01,Gasolina,25051.0,Todo Terreno,Manual,115.0,12.0,C,29
111,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-03-01,Diesel,9900.0,Todo Terreno,Manual,115.0,28.0,C,14
112,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19500.0,2018-11-01,Gasolina,19500.0,Todo Terreno,Manual,140.0,12.0,C,18
113,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,18900.0,2019-12-01,Gasolina,8.0,Todo Terreno,Manual,140.0,36.0,C,5
114,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,12490.0,2016-08-01,Gasolina,55816.0,Todo Terreno,Manual,115.0,12.0,C,45
115,NISSAN X-Trail 1.6 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,18900.0,2016-01-01,Diesel,102800.0,Todo Terreno,Automático,130.0,24.0,C,52
116,NISSAN Leaf 109 acenta,NISSAN,Leaf,Acenta,4x2,10028.0,2015-03-01,Eléctrico,46834.0,Berlina mediana o grande,Automático,109.0,12.0,0 EMISIONES,62
117,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,28900.0,2019-09-01,Eléctrico,5587.0,Berlina,Automático,150.0,36.0,0 EMISIONES,8
