,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
0,NISSAN Leaf Tekna,NISSAN,Leaf,Tekna,4x2,11060.0,2014-06-01,Eléctrico,33570.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,71
1,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15900.0,2016-06-01,Diesel,99900.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,47
2,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6200.0,2017-02-01,Gasolina,73064.0,Berlina,Manual,80.0,24.0,Plata,C,39
3,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11410.0,2017-11-01,Gasolina,44339.0,Todo Terreno,Manual,115.0,12.0,Rojo,C,30
4,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 117kW,NISSAN,Qashqai,Acenta,4x2,20900.0,2019-03-01,Gasolina,39641.0,Todo Terreno,Manual,160.0,12.0,Gris,C,14
5,NISSAN Qashqai 1.5dCi Tekna Premium 4x2 17´´,NISSAN,Qashqai,Tekna,4x2,7990.0,2011-01-01,Diesel,200000.0,Todo Terreno,Manual,106.0,12.0,Blanco,B,112
6,NISSAN Juke 1.6i Acenta,NISSAN,Juke,Acenta,4x2,8800.0,2010-01-01,Gasolina,100366.0,Todo Terreno,Manual,117.0,12.0,Negro                 / Metalizado,C,124
7,NISSAN Micra 1.0 DIG-T ACENTA 86KW 117 5P,NISSAN,Micra,Acenta,4x2,13500.0,2019-11-01,Gasolina,10.0,Berlina mediana o grande,Manual,117.0,0.0,-,C,6
8,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,NISSAN,Qashqai,N-Connecta,4x2,21800.0,2019-02-01,Gasolina,45426.0,Todo Terreno,Automático,160.0,12.0,Blanco,C,15
9,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14900.0,2015-01-01,Diesel,82562.0,Todo Terreno,Manual,110.0,12.0,Negro                 / Metalizado,C,64
10,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,10990.0,2017-04-01,Diesel,46300.0,Todo Terreno,Manual,110.0,Sí,Plata,C,37
11,NISSAN Leaf Tekna,NISSAN,Leaf,Tekna,4x2,11060.0,2014-06-01,Eléctrico,33570.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,71
12,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,13280.0,2016-11-01,Diesel,87688.0,Todo Terreno,Manual,110.0,12.0,Gris,C,42
13,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16550.0,2018-06-01,Gasolina,17544.0,Todo Terreno,Manual,115.0,18.0,Negro,C,23
14,NISSAN Qashqai Berlina 140cv Manual de 5 Puertas,NISSAN,Qashqai,,4x2,16810.0,2019-06-01,Gasolina,9487.0,Berlina mediana o grande,Manual,140.0,24.0,Negro,C,11
15,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,14160.0,2017-08-01,Eléctrico,21521.0,Berlina,Automático,109.0,12.0,Blanco                 / Metalizado,0 EMISIONES,33
16,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16810.0,2018-06-01,Gasolina,16405.0,Todo Terreno,Manual,115.0,18.0,Plata,C,23
17,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16810.0,2018-06-01,Gasolina,12189.0,Todo Terreno,Manual,115.0,18.0,Gris,C,23
18,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14420.0,2017-03-01,Gasolina,77842.0,Todo Terreno,Manual,115.0,12.0,Negro,C,38
19,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14420.0,2017-03-01,Gasolina,74523.0,Todo Terreno,Manual,115.0,12.0,Negro,C,38
20,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,11940.0,2017-03-01,Diesel,36110.0,Todo Terreno,Manual,110.0,24.0,Negro,C,38
21,NISSAN Juke 1.2 DIG-T GT Sport Playstation 4x2 115,NISSAN,Juke,,4x2,14900.0,2018-01-01,Gasolina,36676.0,Todo Terreno,Manual,115.0,18.0,ultramar                 / Metalizado,C,28
22,NISSAN Leaf Tekna 30KWh,NISSAN,Leaf,Tekna,4x2,14160.0,2016-09-01,Eléctrico,67232.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,44
23,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,13000.0,2020-01-01,Gasolina,5.0,Berlina,Manual,100.0,36.0,NARANJA                 / Metalizado,C,4
24,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16550.0,2018-06-01,Gasolina,21758.0,Todo Terreno,Manual,115.0,18.0,Plata,C,23
25,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11800.0,2017-02-01,Diesel,79000.0,Todo Terreno,Manual,110.0,12.0,Negro,C,39
26,NISSAN 370Z  Pack *NAVEGADOR *BIXENON *CRUISE,NISSAN,,,4x2,23900.0,2011-03-01,Gasolina,108900.0,Deportivo o coupé,Manual,330.0,12.0,Negro,C,110
27,NISSAN Pulsar 1.2 DIG-T Sport Edition,NISSAN,Pulsar,,4x2,10970.0,2018-01-01,Gasolina,30123.0,Berlina,Manual,115.0,12.0,Blanco,C,28
28,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16550.0,2018-06-01,Gasolina,18527.0,Todo Terreno,Manual,115.0,18.0,Plata,C,23
29,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,20500.0,2019-06-01,Gasolina,33157.0,Todo Terreno,Manual,140.0,12.0,Azul,C,11
30,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16810.0,2018-06-01,Gasolina,14605.0,Todo Terreno,Manual,115.0,18.0,Gris,C,23
31,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,14160.0,2016-09-01,Eléctrico,60600.0,Berlina,Automático,109.0,12.0,Rojo                 / Metalizado,0 EMISIONES,44
32,NISSAN Juke 1.2 DIG-T Tekna 4x2 115,NISSAN,Juke,Tekna,4x2,17900.0,2018-10-01,Gasolina,9373.0,Todo Terreno,Automático,115.0,18.0,perlado                 / Metalizado,C,19
33,NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,NISSAN,Qashqai,Acenta,4x2,21000.0,2019-07-01,Diesel,20.0,Todo Terreno,Manual,115.0,36.0,-,C,10
34,NISSAN Qashqai 1.5 DCI N-CONNECTA 85KW 115 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-04-01,Diesel,9500.0,Berlina mediana o grande,Manual,115.0,0.0,Rojo Fusion Metalizado,C,13
35,NISSAN X-Trail 1.7 DCI N-CONNECTA CVT 110KW 150 5P,NISSAN,X-Trail,N-Connecta,4x2,27900.0,2019-12-01,Diesel,10.0,"4x4, SUV o pickup",Automático,150.0,0.0,-,C,5
36,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,14160.0,2016-09-01,Eléctrico,61195.0,Berlina,Automático,109.0,12.0,Gris                 / Metalizado,0 EMISIONES,44
37,NISSAN X-Trail 1.6 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,15920.0,2017-03-01,Diesel,59935.0,Todo Terreno,Manual,130.0,12.0,Plata,C,38
38,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,10610.0,2018-08-01,Gasolina,25110.0,Berlina,Manual,90.0,18.0,Blanco,C,21
39,NISSAN Micra 1.5dCi S&S Tekna 90,NISSAN,Micra,Tekna,4x2,15900.0,2018-04-01,Diesel,0.0,Berlina,Manual,90.0,0.0,-,C,25
40,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17400.0,2018-06-01,Gasolina,26031.0,Todo Terreno,Manual,115.0,Sí,-,C,23
41,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,15040.0,2017-01-01,Gasolina,31420.0,Todo Terreno,Manual,115.0,12.0,Rojo,C,40
42,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,13190.0,2016-03-01,Diesel,93403.0,Todo Terreno,Manual,110.0,12.0,Azul,C,50
43,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-05-01,Gasolina,5506.0,Todo Terreno,Manual,140.0,24.0,-,C,12
44,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16550.0,2018-06-01,Gasolina,18855.0,Todo Terreno,Manual,115.0,18.0,Gris,C,23
45,NISSAN Juke 1.6 83KW N-CONNECTA CVT 112 5P,NISSAN,Juke,N-Connecta,4x2,13900.0,2019-04-01,Gasolina,9900.0,"4x4, SUV o pickup",Automático,112.0,0.0,BLANCO PERLADO,C,13
46,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16630.0,2018-06-01,Gasolina,16866.0,Todo Terreno,Manual,115.0,18.0,Negro,C,23
47,NISSAN Leaf Tekna 30KWh,NISSAN,Leaf,Tekna,4x2,14160.0,2016-11-01,Eléctrico,38592.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,42
48,NISSAN Juke Todoterreno 110cv Manual de 5 Puertas,NISSAN,Juke,,4x2,7900.0,2011-06-01,Diesel,115000.0,"4x4, SUV o pickup",Manual,110.0,12.0,Gris,B,107
49,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,10990.0,2018-05-01,Gasolina,31241.0,Berlina,Manual,90.0,12.0,Gunmetal Grey (metalizado),C,24
50,NISSAN Leaf Berlina 109cv Automático de 5 Puertas,NISSAN,Leaf,,4x2,11120.0,2012-06-01,Eléctrico,52025.0,Berlina mediana o grande,Automático,109.0,12.0,BLANCO,0 EMISIONES,95
51,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,18900.0,2019-08-01,Gasolina,22000.0,Todo Terreno,Manual,140.0,24.0,Gris                 / Metalizado,C,9
52,NISSAN Murano 2.5dCi Tekna Premium Aut.,NISSAN,Murano,Tekna,4x2,12850.0,2012-05-01,Diesel,220000.0,Todo Terreno,Automático,190.0,12.0,Blanco,B,96
53,NISSAN Qashqai 1.2 DIG-T Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,15390.0,2015-01-01,Gasolina,54066.0,Todo Terreno,Manual,115.0,12.0,Gris Plata,C,64
54,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18500.0,2018-06-01,Gasolina,10901.0,Todo Terreno,Manual,115.0,36.0,-,C,23
55,NISSAN Juke DIG-T EU6 85 kW (115 CV) 6M/T ACENTA,NISSAN,Juke,Acenta,4x2,11500.0,2017-08-01,Gasolina,18901.0,"4x4, SUV o pickup",Manual,115.0,36.0,Rojo Fusión Metalizado,C,33
56,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,20000.0,2019-10-01,Gasolina,20.0,Todo Terreno,Manual,140.0,36.0,-,C,7
57,NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,NISSAN,Qashqai,Acenta,4x2,20600.0,2019-07-01,Diesel,3500.0,Todo Terreno,Manual,115.0,36.0,-,C,10
58,NISSAN Qashqai 1.2 DIG-T N-CONNECTA 115 5P,NISSAN,Qashqai,N-Connecta,4x2,15750.0,2018-06-01,Gasolina,24150.0,Berlina mediana o grande,Manual,115.0,0.0,NEGRO ZAINO,C,23
59,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,11500.0,2019-01-01,Gasolina,30710.0,Berlina,Manual,100.0,12.0,Gris                 / Metalizado,C,16
60,NISSAN Qashqai 1.6dCi Tekna 4x4-i,NISSAN,Qashqai,Tekna,4x4,14950.0,2016-11-01,Diesel,75900.0,Todo Terreno,Manual,130.0,24.0,Blanco,C,42
61,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18400.0,2017-08-01,Diesel,14404.0,Todo Terreno,Manual,130.0,Sí,-,C,33
62,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,10900.0,2012-05-01,Diesel,116591.0,Todo Terreno,Manual,110.0,12.0,-,B,96
63,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17400.0,2018-05-01,Gasolina,23186.0,Todo Terreno,Manual,115.0,Sí,-,C,24
64,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,20400.0,2019-12-01,Gasolina,8.0,Todo Terreno,Manual,140.0,36.0,ROJO VOLCAN                 / Metalizado,C,5
65,NISSAN Micra IG-T S&S N-Connecta 90,NISSAN,Micra,N-Connecta,4x2,10500.0,2017-04-01,Gasolina,42000.0,Berlina,Manual,90.0,12.0,Negro                 / Metalizado,C,37
66,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,12000.0,2018-03-01,Gasolina,28457.0,Berlina,Manual,115.0,12.0,BLANCO                 / Metalizado,C,26
67,NISSAN Qashqai Q+2 1.6 S&S Tekna Sport Chrome 4x2,NISSAN,Qashqai,Tekna,4x2,10900.0,2012-05-01,Gasolina,93000.0,Todo Terreno,Manual,117.0,12.0,Negro Metalizado,C,96
68,NISSAN Qashqai 1.2 DIG-T Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,13970.0,2015-01-01,Gasolina,89600.0,Todo Terreno,Manual,115.0,12.0,Gris                 / Metalizado,C,64
69,NISSAN Qashqai Pequeño 110cv Manual de 5 Puertas,NISSAN,Qashqai,,4x2,16199.0,2017-09-01,Diesel,42684.0,Pequeño,Manual,110.0,12.0,Gris,C,32
70,NISSAN Qashqai  dCi 85 kW (115 CV) E6D ACENTA,NISSAN,Qashqai,Acenta,4x2,15300.0,2018-07-01,Diesel,22379.0,Berlina mediana o grande,Manual,115.0,36.0,Blanco Perlado (metalizado),C,22
71,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,11510.0,2016-03-01,Diesel,60817.0,Todo Terreno,Manual,110.0,12.0,Amarillo,C,50
72,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,17000.0,2017-01-01,Diesel,41000.0,Todo Terreno,Manual,110.0,12.0,Azul                 / Metalizado,C,40
73,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,10990.0,2018-03-01,Gasolina,21924.0,Berlina,Manual,90.0,10.0,Platinum Silver (metalizado),C,26
74,NISSAN Qashqai 1.6dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,12500.0,2015-03-01,Diesel,121000.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,62
75,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,22400.0,2018-10-01,Diesel,754.0,Todo Terreno,Manual,115.0,24.0,BLANCO                 / Metalizado,C,19
76,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11900.0,2017-06-01,Gasolina,32000.0,Todo Terreno,Manual,115.0,0.0,Amarillo,C,35
77,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,29500.0,2019-01-01,Eléctrico,8687.0,Berlina,Automático,150.0,36.0,Blanco                 / Metalizado,0 EMISIONES,16
78,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,10450.0,2017-12-01,Gasolina,22500.0,Berlina,Manual,90.0,12.0,Gris                 / Metalizado,C,29
79,NISSAN Qashqai Q+2 1.5dCi 360 4x2,NISSAN,Qashqai,,4x2,9300.0,2013-04-01,Diesel,152500.0,Todo Terreno,Manual,110.0,12.0,Gris,B,85
80,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14900.0,2017-04-01,Diesel,44000.0,Todo Terreno,Manual,110.0,12.0,-,C,37
81,NISSAN GT-R 3.8 V6 570 Track Edition by NISMO Aut.,NISSAN,,,4x2,98000.0,2018-01-01,Gasolina,6900.0,Coupe,Automático,570.0,12.0,perla                 / Metalizado,C,28
82,NISSAN Qashqai 1.5 DCI N-CONNECTA 110 5P,NISSAN,Qashqai,N-Connecta,4x2,13750.0,2016-05-01,Diesel,90000.0,Berlina mediana o grande,Manual,110.0,12.0,NEGRO ZAINO                 / Metalizado,C,48
83,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,19500.0,2018-05-01,Gasolina,5500.0,Todo Terreno,Manual,115.0,24.0,GRIS METAL,C,24
84,NISSAN Qashqai 1.6dCi Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,21990.0,2018-05-01,Diesel,19500.0,Todo Terreno,Manual,130.0,16.0,Azul,C,24
85,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-02-01,Gasolina,29500.0,Berlina mediana o grande,Manual,140.0,0.0,Gris Metalizado,C,15
86,NISSAN Qashqai 1.2 DIG-T Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,20300.0,2017-08-01,Gasolina,11700.0,Todo Terreno,Manual,115.0,12.0,GRIS METALIZADO,C,33
87,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15900.0,2016-09-01,Diesel,60715.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,44
88,NISSAN Qashqai 1.6dCi Visia 4x2,NISSAN,Qashqai,Visia,4x2,13990.0,2015-06-01,Diesel,113956.0,Todo Terreno,Manual,130.0,12.0,Gris plomo,C,59
89,NISSAN Pulsar 1.5 dCi Tekna,NISSAN,Pulsar,Tekna,4x2,12000.0,2017-03-01,Diesel,68150.0,Berlina,Manual,110.0,15.0,Negro,C,38
90,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11900.0,2017-03-01,Gasolina,42000.0,Todo Terreno,Manual,115.0,12.0,Blanco S?lido,C,38
91,NISSAN X-Trail 1.7 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,25900.0,2019-12-01,Diesel,10.0,Todo Terreno,Manual,150.0,34.0,Negro Diamante Metalizado                 / Metalizado,C,5
92,NISSAN Juke 1.6i Acenta,NISSAN,Juke,Acenta,4x2,7950.0,2013-12-01,Gasolina,105000.0,Todo Terreno,Manual,117.0,24.0,Blanco,C,77
93,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6250.0,2017-02-01,Gasolina,43000.0,Berlina,Manual,80.0,12.0,Blanco Iceberg S?lido,C,39
94,NISSAN X-Trail 1.6 dCi Tekna 4x2 7 pl.,NISSAN,X-Trail,Tekna,4x2,21490.0,2017-10-01,Diesel,55290.0,Todo Terreno,Manual,130.0,12.0,Blanco                 / Metalizado,C,31
95,NISSAN Juke 1.5dCi Tekna 4x2,NISSAN,Juke,Tekna,4x2,15200.0,2017-06-01,Diesel,30740.0,Todo Terreno,Manual,110.0,12.0,Amarillo                 / Metalizado,C,35
96,NISSAN Qashqai 1.2 DIG-T TEKNA+ 115 5P,NISSAN,Qashqai,Tekna,4x2,18900.0,2018-02-01,Gasolina,55138.0,Berlina mediana o grande,Manual,115.0,12.0,Azul Vivid Metalizado                 / Metalizado,C,27
97,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,13900.0,2017-03-01,Gasolina,56924.0,Todo Terreno,Automático,117.0,12.0,Rojo,C,38
98,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,5900.0,2014-01-01,Gasolina,108000.0,Berlina,Manual,80.0,12.0,Granate,C,76
99,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19500.0,2018-11-01,Gasolina,19500.0,Todo Terreno,Manual,140.0,12.0,PLATA,C,18
100,NISSAN Qashqai Q+2 1.6dCi S&S Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,8499.0,2014-01-01,Diesel,208622.0,Todo Terreno,Manual,130.0,12.0,Negro,C,76
101,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,7500.0,2017-06-01,Gasolina,45000.0,Berlina,Manual,80.0,12.0,Rojo                 / Metalizado,C,35
102,NISSAN Qashqai 1.6dCi S&S Tekna Premium 4x2 18´´,NISSAN,Qashqai,Tekna,4x2,13900.0,2014-01-01,Diesel,90000.0,Todo Terreno,Manual,130.0,12.0,Gris,C,76
103,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,28900.0,2019-09-01,Eléctrico,5587.0,Berlina,Automático,150.0,36.0,perlado bitono                 / Metalizado,0 EMISIONES,8
104,NISSAN Qashqai 1.6 DIG-T Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,16990.0,2017-06-01,Gasolina,22000.0,Todo Terreno,Manual,163.0,12.0,Negro,C,35
105,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,12900.0,2018-02-01,Gasolina,35793.0,Todo Terreno,Automático,117.0,12.0,Blanco,C,27
106,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15900.0,2017-01-01,Diesel,59036.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,40
107,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,17000.0,2019-02-01,Gasolina,7653.0,Todo Terreno,Manual,140.0,12.0,BLANCO PERLADO                 / Metalizado,C,15
108,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14400.0,2017-11-01,Diesel,30531.0,Todo Terreno,Manual,110.0,12.0,Negro                 / Metalizado,C,30
109,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10900.0,2018-02-01,Gasolina,89999.0,Todo Terreno,Manual,115.0,12.0,Gris,C,27
110,NISSAN Qashqai 1.5dCi Tekna Sport 4x2 18´´,NISSAN,Qashqai,Tekna,4x2,9900.0,2011-04-01,Diesel,101000.0,Todo Terreno,Manual,106.0,12.0,Gris,B,109
111,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 140 5P,NISSAN,Qashqai,N-Connecta,4x2,19450.0,2019-06-01,Gasolina,7900.0,Berlina mediana o grande,Manual,140.0,12.0,Blanco Perlado Metalizado,C,11
112,NISSAN X-Trail 1.6 DIG-T Tekna 4x2 7 pl.,NISSAN,X-Trail,Tekna,4x2,23900.0,2018-06-01,Gasolina,14030.0,Todo Terreno,Manual,163.0,12.0,perlado                 / Metalizado,C,23
113,NISSAN X-Trail 1.6 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,18900.0,2016-01-01,Diesel,102800.0,Todo Terreno,Automático,130.0,24.0,Negro                 / Metalizado,C,52
114,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11990.0,2015-01-01,Diesel,63972.0,Todo Terreno,Manual,110.0,12.0,Blanco                 / Metalizado,C,64
115,NISSAN X-Trail 1.6 dCi 360 4x4-i,NISSAN,X-Trail,,4x4,15000.0,2016-07-01,Diesel,91000.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,46
116,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14100.0,2018-01-01,Diesel,34411.0,Todo Terreno,Manual,110.0,12.0,Azul,C,28
117,NISSAN Qashqai Q+2 2.0dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,12500.0,2010-05-01,Diesel,128000.0,Todo Terreno,Manual,150.0,0.0,Plata,B,120
118,NISSAN X-Trail 1.6 dCi 360 4x2,NISSAN,X-Trail,,4x2,12850.0,2015-03-01,Diesel,104000.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,62
119,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,27900.0,2018-12-01,Eléctrico,9000.0,Berlina,Automático,150.0,36.0,perlado                 / Metalizado,0 EMISIONES,17
120,NISSAN X-Trail 1.6 dCi 360 4x2,NISSAN,X-Trail,,4x2,14900.0,2015-05-01,Diesel,63300.0,Todo Terreno,Manual,130.0,12.0,Gris,C,60
121,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,15130.0,2018-02-01,Diesel,17946.0,Todo Terreno,Manual,110.0,12.0,Negro,C,27
122,NISSAN X-Trail 1.3 DIG-T Tekna 4x2 DCT,NISSAN,X-Trail,Tekna,4x2,27900.0,2019-11-01,Gasolina,10.0,Todo Terreno,Automático,160.0,31.0,Plata Tecno Metalizado                 / Metalizado,C,6
123,NISSAN Murano 3.5 V6 Aut.,NISSAN,Murano,,4x2,7900.0,2007-07-01,Gasolina,128000.0,Todo Terreno,Automático,234.0,12.0,Azul                 / Metalizado,C,154
124,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 117kW,NISSAN,Qashqai,N-Connecta,4x2,21100.0,2019-09-01,Gasolina,1.0,Todo Terreno,Manual,160.0,36.0,Plata,C,8
125,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10995.0,2017-12-01,Gasolina,25051.0,Todo Terreno,Manual,115.0,12.0,Rojo,C,29
126,NISSAN Micra 1.0 IG-T ACENTA 74KW 100 5P,NISSAN,Micra,Acenta,4x2,12900.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,100.0,0.0,-,C,5
127,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,13200.0,2018-12-01,Gasolina,18355.0,Berlina,Manual,100.0,12.0,Negro,C,17
128,NISSAN Qashqai 1.6dCi Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,22900.0,2017-10-01,Diesel,36201.0,Todo Terreno,Manual,130.0,12.0,AMATISTA                 / Metalizado,C,31
129,NISSAN Qashqai 1.6dCi Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,22900.0,2017-10-01,Diesel,36201.0,Todo Terreno,Manual,130.0,12.0,AMATISTA                 / Metalizado,C,31
130,NISSAN Micra 1.2 N-Tec,NISSAN,Micra,,4x2,6900.0,2016-09-01,Gasolina,97000.0,Berlina,Manual,80.0,12.0,Blanco                 / Metalizado,C,44
131,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,10100.0,2018-01-01,Gasolina,97000.0,Todo Terreno,Automático,117.0,24.0,Negro,C,28
