,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
500,NISSAN Qashqai 1.3 DIG-T Q-Line 4x2 103kW,NISSAN,Qashqai,,4x2,22500.0,2020-01-01,Gasolina,0.0,Todo Terreno,Manual,140.0,Sí,-,C,4
501,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,15700.0,2017-03-01,Diesel,41143.0,Todo Terreno,Manual,110.0,36.0,GRIS NEGRO,C,38
502,NISSAN Qashqai  DIG-T 115 CV ACENTA,NISSAN,Qashqai,Acenta,4x2,15490.0,2018-07-01,Gasolina,31534.0,Berlina mediana o grande,Manual,115.0,12.0,Blanco Sólido,C,22
503,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,15890.0,2017-03-01,Eléctrico,28000.0,Berlina,Automático,109.0,12.0,Blanco,0 EMISIONES,38
504,NISSAN 370Z Deportivo 344cv Manual de 3 Puertas,NISSAN,,,4x2,36900.0,2018-07-01,Gasolina,8300.0,Deportivo o coupé,Manual,344.0,36.0,Blanco Perlado (metalizada autorreparadora),C,22
505,NISSAN Qashqai 1.5dCi Tekna+ 4x2 85kW,NISSAN,Qashqai,Tekna,4x2,25500.0,2020-01-01,Diesel,26.0,Todo Terreno,Manual,115.0,36.0,Gris,C,4
506,NISSAN Micra 1.0 G VISIA 52KW 71 5P,NISSAN,Micra,Visia,4x2,9900.0,2019-05-01,Gasolina,4652.0,Berlina mediana o grande,Manual,71.0,24.0,-,C,12
507,NISSAN Qashqai 1.5 DCI ACENTA 110 5P,NISSAN,Qashqai,Acenta,4x2,14990.0,2015-03-01,Diesel,56504.0,Berlina mediana o grande,Manual,110.0,12.0,BLANCO,C,62
508,NISSAN Micra 1.0 G ACENTA 52KW 71 5P,NISSAN,Micra,Acenta,4x2,10900.0,2019-03-01,Gasolina,3954.0,Berlina mediana o grande,Manual,71.0,24.0,-,C,14
509,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,21500.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,Blanco S?lido,C,5
510,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,11800.0,2018-03-01,Gasolina,25557.0,Berlina,Manual,115.0,12.0,Gris Precision Metalizado,C,26
511,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18300.0,2018-06-01,Gasolina,18189.0,Todo Terreno,Manual,115.0,24.0,BLANCO PERLADO,C,23
512,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,23300.0,2019-01-01,Diesel,12.0,Todo Terreno,Manual,115.0,36.0,BLANCO SOLIDO                 / Metalizado,C,16
